date,cam,count
2017-07-06,412,0
2017-07-06,413,3432
2017-07-06,414,3014
2017-07-06,415,3586
2017-07-06,416,1722
2017-07-06,419,1892
2017-07-06,420,4068
2017-07-06,421,3418
2017-07-06,426,1105
2017-07-06,427,1503
2017-07-06,430,1062
2017-07-06,432,2633
2017-07-06,433,2564
2017-07-06,445,4182
2017-07-06,446,11
2017-07-06,452,3035
2017-07-06,459,2289
2017-07-06,472,1475
2017-07-06,473,1422
2017-07-06,474,327
2017-07-06,475,8947
2017-07-06,489,7335
2017-07-06,495,3528
2017-07-06,500,5803
2017-07-06,501,7133
2017-07-06,502,1362
2017-07-06,503,4199
2017-07-06,504,4612
2017-07-06,506,4886
2017-07-06,507,1360
2017-07-06,508,3246
2017-07-06,509,3843
2017-07-06,510,3142
2017-07-06,511,2442
2017-07-06,517,1881
2017-07-06,519,2456
2017-07-06,523,9570
2017-07-06,528,5344
2017-07-06,531,3705
2017-07-06,535,8147
2017-07-06,542,4608
2017-07-06,544,972
2017-07-06,545,1644
2017-07-06,547,263
2017-07-06,548,911
2017-07-06,550,2564
2017-07-06,551,2190
2017-07-06,552,1508
2017-07-06,715,326
2017-07-06,716,2276
2017-07-06,717,3026
2017-07-06,722,5204
2017-07-06,725,349
2017-07-06,789,3877
2017-07-06,790,835
2017-07-06,791,1508
2017-07-06,794,2194
2017-07-06,827,1679
2017-07-06,828,1538
2017-07-06,838,4621
2017-07-06,845,2040
2017-07-06,846,3607
2017-07-06,869,2309
2017-07-06,891,6279
2017-07-06,893,158
2017-07-06,899,13085
2017-07-06,928,1244
2017-07-06,985,4486
2017-07-06,988,1180
2017-07-06,1028,2560
2017-07-07,163,4327
2017-07-07,165,1062
2017-07-07,166,391
2017-07-07,168,3903
2017-07-07,169,5225
2017-07-07,170,6229
2017-07-07,171,3464
2017-07-07,172,1323
2017-07-07,173,3062
2017-07-07,176,832
2017-07-07,179,3910
2017-07-07,180,5627
2017-07-07,181,7736
2017-07-07,182,430
2017-07-07,187,2459
2017-07-07,192,1845
2017-07-07,211,396
2017-07-07,253,253
2017-07-07,287,1152
2017-07-07,292,307
2017-07-07,326,911
2017-07-07,330,2011
2017-07-07,338,1942
2017-07-07,339,1674
2017-07-07,347,3519
2017-07-07,351,3652
2017-07-07,361,2485
2017-07-07,398,4390
2017-07-07,399,795
2017-07-07,400,1239
2017-07-07,403,2468
2017-07-07,404,2214
2017-07-07,406,2790
2017-07-07,407,1462
2017-07-07,409,3422
2017-07-07,410,701
2017-07-07,412,0
2017-07-07,413,2717
2017-07-07,414,2667
2017-07-07,415,2655
2017-07-07,416,1534
2017-07-07,419,494
2017-07-07,420,3496
2017-07-07,421,3058
2017-07-07,426,844
2017-07-07,427,1238
2017-07-07,430,827
2017-07-07,432,2180
2017-07-07,433,2045
2017-07-07,445,3040
2017-07-07,446,12
2017-07-07,452,2045
2017-07-07,459,1743
2017-07-07,472,1038
2017-07-07,473,1025
2017-07-07,474,384
2017-07-07,475,7030
2017-07-07,489,3503
2017-07-07,495,2777
2017-07-07,500,4513
2017-07-07,501,2160
2017-07-07,502,1096
2017-07-07,503,3336
2017-07-07,504,3636
2017-07-07,506,3639
2017-07-07,507,1119
2017-07-07,508,2460
2017-07-07,509,3375
2017-07-07,510,2678
2017-07-07,511,1795
2017-07-07,517,1562
2017-07-07,519,1701
2017-07-07,523,6741
2017-07-07,528,3805
2017-07-07,531,2665
2017-07-07,535,7046
2017-07-07,542,3848
2017-07-07,544,931
2017-07-07,545,1158
2017-07-07,547,233
2017-07-07,548,1113
2017-07-07,550,1795
2017-07-07,551,2016
2017-07-07,552,1370
